,method,split,field,horizon,mu_id,k0,abs_mean,abs_max,abs_fin,rel_mean,rel_max,rel_fin,mse_fin
66,vanilla,extrap,u_fine,320,15,542,3.4419949054718018,5.380194664001465,3.5380852222442627,0.0794140174984932,0.1052112728357315,0.10181919485330582,0.012224654667079449
67,vanilla,extrap,u_fine,320,15,642,3.805790662765503,5.842339992523193,5.842339992523193,0.0860225185751915,0.11947332322597504,0.1086420938372612,0.0333329439163208
68,vanilla,extrap,u_fine,320,15,514,3.3682057857513428,5.189827919006348,2.9932665824890137,0.0758608728647232,0.10638729482889175,0.08138115704059601,0.008749652653932571
69,vanilla,extrap,u_fine,320,15,575,3.10754656791687,4.584991455078125,4.231077194213867,0.07427839189767838,0.10061132162809372,0.09998326003551483,0.017482437193393707
70,vanilla,extrap,u_fine,320,3,551,7.618587493896484,14.942988395690918,7.085525989532471,0.1626759171485901,0.23727832734584808,0.21102315187454224,0.04902800917625427
71,vanilla,extrap,u_fine,320,3,633,6.905452251434326,14.263632774353027,13.589343070983887,0.14780981838703156,0.2344595491886139,0.2344595491886139,0.18034203350543976
72,vanilla,extrap,u_fine,320,3,635,6.958542823791504,14.279919624328613,13.791376113891602,0.1482977420091629,0.23470187187194824,0.23470187187194824,0.18574419617652893
73,vanilla,extrap,u_fine,320,3,629,6.779427528381348,14.217833518981934,13.069972038269043,0.14620135724544525,0.23212455213069916,0.23212455213069916,0.1668204665184021
74,vanilla,extrap,u_fine,320,3,667,8.000267028808594,16.104326248168945,14.095413208007812,0.15914499759674072,0.2551175355911255,0.23955048620700836,0.19402408599853516
75,vanilla,extrap,u_fine,320,3,668,8.031582832336426,16.10250473022461,13.879997253417969,0.15956465899944305,0.2550886869430542,0.23809750378131866,0.18813897669315338
76,vanilla,extrap,u_fine,320,3,534,7.8597846031188965,15.684844970703125,5.895224094390869,0.1609397977590561,0.24878078699111938,0.17576409876346588,0.03393913060426712
77,vanilla,extrap,u_fine,320,3,521,7.673167705535889,15.50739574432373,4.2391276359558105,0.1524103879928589,0.24587152898311615,0.11705198138952255,0.017549026757478714
78,vanilla,extrap,u_fine,320,3,524,7.639163494110107,15.495020866394043,4.6149468421936035,0.15250086784362793,0.2458437830209732,0.13035351037979126,0.020798569545149803
79,vanilla,extrap,u_fine,320,3,632,6.874415874481201,14.252446174621582,13.463029861450195,0.14743836224079132,0.23392772674560547,0.23392772674560547,0.17700505256652832
80,vanilla,extrap,u_fine,320,35,675,8.54179859161377,17.693939208984375,14.54797077178955,0.18456800282001495,0.27570250630378723,0.25692281126976013,0.20668303966522217
81,vanilla,extrap,u_fine,320,35,667,8.315832138061523,17.643156051635742,13.064489364624023,0.18181653320789337,0.27438032627105713,0.24628742039203644,0.16668054461479187
82,vanilla,extrap,u_fine,320,35,621,7.7094879150390625,16.291391372680664,7.6252875328063965,0.17186160385608673,0.2519947290420532,0.20501463115215302,0.056782230734825134
83,vanilla,extrap,u_fine,320,35,675,8.54179859161377,17.693939208984375,14.54797077178955,0.18456800282001495,0.27570250630378723,0.25692281126976013,0.20668303966522217
84,vanilla,extrap,u_fine,320,35,657,7.683045387268066,16.97682762145996,11.432596206665039,0.169430211186409,0.26359185576438904,0.235012948513031,0.12764087319374084
85,vanilla,extrap,u_fine,320,35,503,8.723170280456543,17.619539260864258,17.619539260864258,0.1781807392835617,0.272530198097229,0.272530198097229,0.3031720519065857
86,vanilla,extrap,u_fine,320,35,522,8.787693977355957,17.197322845458984,13.667196273803711,0.1735166758298874,0.2675551474094391,0.24545149505138397,0.18241432309150696
87,vanilla,extrap,u_fine,320,35,656,7.602424144744873,16.859792709350586,11.268507957458496,0.1677689403295517,0.26162824034690857,0.23365291953086853,0.12400318682193756
88,vanilla,extrap,u_fine,320,35,515,8.83218002319336,17.355527877807617,15.841435432434082,0.17641328275203705,0.2699213922023773,0.2628779709339142,0.24506939947605133
89,vanilla,extrap,u_fine,320,35,677,8.621816635131836,17.722288131713867,14.931262969970703,0.185703843832016,0.27619054913520813,0.2596675455570221,0.21771740913391113
