,step,t,dyn_sigma_max,dyn_sigma_min,dyn_cond,dec_gain,latent_err,method,split,field,horizon,mu_id,k0
52,32,26.075218200683594,3.3838467597961426,0.01085282489657402,311.7940979003906,2.905789852142334,1.5122264623641968,vanilla,extrap,u_coarse,40,170,134
53,40,27.33185577392578,2.8435323238372803,0.08290073275566101,34.30044937133789,3.500258684158325,1.5294500589370728,vanilla,extrap,u_coarse,40,170,134
54,0,16.807519912719727,2.0960869789123535,0.019653134047985077,106.65408325195312,3.153773069381714,3.515144271659665e-05,vanilla,extrap,u_coarse,40,170,107
55,8,18.064157485961914,3.4027552604675293,0.007483936380594969,454.6745300292969,2.9257402420043945,1.0580836534500122,vanilla,extrap,u_coarse,40,170,107
56,16,19.3207950592041,4.024221420288086,0.05563602223992348,72.33122253417969,2.953639507293701,1.5881317853927612,vanilla,extrap,u_coarse,40,170,107
57,24,20.57743263244629,2.9907681941986084,0.11824604123830795,25.292755126953125,3.005314588546753,1.3305408954620361,vanilla,extrap,u_coarse,40,170,107
58,32,21.834068298339844,1.8360923528671265,0.02384701929986477,76.99462890625,3.3666608333587646,1.391127347946167,vanilla,extrap,u_coarse,40,170,107
59,40,23.09070587158203,1.6270064115524292,0.0053284624591469765,305.3425598144531,3.3390555381774902,1.1666291952133179,vanilla,extrap,u_coarse,40,170,107
60,0,19.792034149169922,4.330376625061035,0.03963661938905716,109.25191497802734,3.3473143577575684,3.908501457772218e-05,vanilla,extrap,u_coarse,40,127,126
61,8,21.04867172241211,2.637226104736328,0.011904540471732616,221.53111267089844,3.3725833892822266,1.0065988302230835,vanilla,extrap,u_coarse,40,127,126
62,16,22.305307388305664,2.7682907581329346,0.008432327769696712,328.2949523925781,3.46026349067688,1.3888969421386719,vanilla,extrap,u_coarse,40,127,126
63,24,23.56194496154785,3.2318997383117676,0.0002997662522830069,10781.3994140625,3.5481343269348145,1.5638457536697388,vanilla,extrap,u_coarse,40,127,126
64,32,24.81858253479004,3.796616554260254,0.06029947102069855,62.962684631347656,3.53739595413208,1.9082190990447998,vanilla,extrap,u_coarse,40,127,126
65,40,26.075218200683594,3.7686305046081543,0.0012688698479905725,2970.068603515625,3.404435873031616,1.677424430847168,vanilla,extrap,u_coarse,40,127,126
66,0,14.608406066894531,1.7856560945510864,0.0038780984468758106,460.4462890625,3.3438353538513184,4.350215385784395e-05,vanilla,extrap,u_coarse,40,127,93
67,8,15.865042686462402,2.8465559482574463,0.02046087197959423,139.12193298339844,3.207787275314331,0.5951718688011169,vanilla,extrap,u_coarse,40,127,93
68,16,17.121679306030273,4.2111897468566895,0.006897259969264269,610.559814453125,3.5166494846343994,0.7973294258117676,vanilla,extrap,u_coarse,40,127,93
69,24,18.37831687927246,5.309018135070801,0.011888556182384491,446.5654296875,3.418919324874878,1.2365214824676514,vanilla,extrap,u_coarse,40,127,93
70,32,19.63495445251465,6.72252893447876,0.04141419008374214,162.3242950439453,3.33196759223938,1.0484083890914917,vanilla,extrap,u_coarse,40,127,93
71,40,20.891592025756836,2.4067530632019043,0.0046073514968156815,522.3723754882812,3.374019145965576,1.0532667636871338,vanilla,extrap,u_coarse,40,127,93
72,0,23.404865264892578,4.24093770980835,0.056232750415802,75.41757202148438,3.48291015625,0.00011152933439007029,vanilla,extrap,u_coarse,40,127,149
73,8,24.661502838134766,4.678350925445557,0.02106066234409809,222.13693237304688,3.488600015640259,1.2418426275253296,vanilla,extrap,u_coarse,40,127,149
74,16,25.91813850402832,7.210302352905273,0.04771848022937775,151.10084533691406,3.380474328994751,1.039426326751709,vanilla,extrap,u_coarse,40,127,149
75,24,27.174776077270508,2.4827139377593994,0.005162286106497049,480.93304443359375,2.957352876663208,1.256523609161377,vanilla,extrap,u_coarse,40,127,149
