,version,method,run,n_epochs,best_train,best_val,best_train_ep,best_val_ep,target_val,target_ep,target_reached,std_train,std_val,target_swa_epochs,best_swa_epochs,last_swa_epochs
10,1,curvature,11,50,0.0008518378491081843,0.001588725300738588,49,19,0.0027153938501141965,12,True,0.024607895481619787,0.01939416864110403,"[10, 11, 12]","[17, 18, 19]","[48, 49, 50]"
11,1,curvature,12,50,0.0009063654145362173,0.0014168196872342378,50,24,0.0027153938501141965,16,True,0.025370264940395727,0.021628044748962117,"[14, 15, 16]","[22, 23, 24]","[48, 49, 50]"
12,1,curvature,13,50,0.0007139827046974949,0.000683098127192352,50,50,0.0027153938501141965,10,True,0.025288640966195264,0.020509765588660613,"[8, 9, 10]","[48, 49, 50]","[48, 49, 50]"
13,1,curvature,14,50,0.0007055504378726387,0.0016828413922339678,50,28,0.0027153938501141965,9,True,0.023943958653063535,0.0184995803396926,"[7, 8, 9]","[26, 27, 28]","[48, 49, 50]"
14,1,curvature,15,50,0.0009116392291048769,0.0010132234797347337,49,30,0.0027153938501141965,16,True,0.026014253251046532,0.02280910263832659,"[14, 15, 16]","[28, 29, 30]","[48, 49, 50]"
15,1,curvature,16,50,0.0008029189482104124,0.0016854009605012834,50,36,0.0027153938501141965,19,True,0.02486868438685794,0.020843128662658843,"[17, 18, 19]","[34, 35, 36]","[48, 49, 50]"
16,1,operator_norm,1,50,0.0014622478636844855,0.001754067981382832,49,35,0.0027153938501141965,17,True,0.024462698930818358,0.020870267842322078,"[15, 16, 17]","[33, 34, 35]","[48, 49, 50]"
17,1,operator_norm,2,50,0.0017186944873821808,0.001766307613113895,50,29,0.0027153938501141965,22,True,0.02480595866873897,0.01774280548657097,"[20, 21, 22]","[27, 28, 29]","[48, 49, 50]"
18,1,operator_norm,3,50,0.0015473634416873498,0.0012348249307833612,48,50,0.0027153938501141965,24,True,0.02401512510893859,0.020469335960500316,"[22, 23, 24]","[48, 49, 50]","[48, 49, 50]"
19,1,operator_norm,4,50,0.0016084446534287275,0.000923262745840475,50,48,0.0027153938501141965,17,True,0.024388512555177322,0.019870600171180506,"[15, 16, 17]","[46, 47, 48]","[48, 49, 50]"
